,AAVE,ANKR,BNB,BONK,BTC,CKB,DOGE,DOT,DUSK,ETH,FET,FLOKI,GLM,INJ,JASMY,JUP,LINK,LPT,MATIC,NEAR,OM,OP,ORDI,PENDLE,PEPE,PYTH,RENDER,SHIB,SOL,STRAX,STX,TAO,TRU,UNI,USDT,VET
2024-06-06,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-07,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-08,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-09,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-10,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-11,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-12,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-13,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-14,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-15,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-16,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-17,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-18,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-19,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-20,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-21,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-22,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-23,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-24,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-25,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-26,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-27,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-28,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-29,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-06-30,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-01,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-02,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-03,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-04,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-05,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-06,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-07,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-08,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
2024-07-09,0.30620156,2558.74753862,1.025e-05,1088251.2,0.00270077,3748.34949718,226.6708859,8.36434171,149.79839056,0.07922216,49.56149688,179128.65,116.1617816,2.64362674,7293.20012563,23.08730232,6.84456521,4.97647473,131.39294866,19.46141792,31.88929632,28.6736192,1.193083,21.07505291,12669777.61,103.52223832,11.2736089,1194671.72,0.31688397,0.3,51.26805358,0.23508436,524.71596398,13.32333563,18.96,1071.3606161
