"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-09-03 09:07:20","1599586702","STXUSDT","Limit","BUY","1.5050000000","33.3000000000STX","2024-09-03 09:07:41","33.3000000000STX","1.50500000","50.1165000000USDT","FILLED"
"2024-09-03 09:02:31","1599582914","STXUSDT","Limit","BUY","1.5000000000","33.3000000000STX","2024-09-03 09:07:20","0.0000000000STX","0E-8","0.0000000000USDT","CANCELED"
"2024-09-02 20:23:30","1603333780","PEPEUSDT","Limit","BUY","0.0000075100","9300000.0000000000PEPE","2024-09-02 20:24:23","9300000.0000000000PEPE","0.00000751","69.8430000000USDT","FILLED"
"2024-09-02 20:20:58","1603324603","PEPEUSDT","Limit","BUY","0.0000075000","9300000.0000000000PEPE","2024-09-02 20:23:30","0.0000000000PEPE","0E-8","0.0000000000USDT","CANCELED"
"2024-08-29 20:19:43","1579048774","PEPEUSDT","Limit","BUY","0.0000070000","10000000.0000000000PEPE","2024-09-02 20:20:58","0.0000000000PEPE","0E-8","0.0000000000USDT","CANCELED"
"2024-07-02 09:28:43","751233548","PENDLEUSDT","Market","BUY","0E-10","5.8000000000PENDLE","2024-07-02 09:28:43","5.8000000000PENDLE","4.89400000","28.3852000000USDT","FILLED"
"2024-06-27 14:08:04","6495612385","SOLUSDT","Market","BUY","0E-10","0.1000000000SOL","2024-06-27 14:08:04","0.1000000000SOL","148.89000000","14.8890000000USDT","FILLED"
"2024-06-27 13:27:35","5397339265","DOGEUSDT","Market","BUY","0E-10","121.0000000000DOGE","2024-06-27 13:27:35","121.0000000000DOGE","0.12394000","14.9967400000USDT","FILLED"
"2024-06-27 13:27:13","824143281","CKBUSDT","Market","BUY","0E-10","1193.0000000000CKB","2024-06-27 13:27:13","1193.0000000000CKB","0.01256300","14.9876590000USDT","FILLED"
"2024-06-27 13:26:49","1048730498","BONKUSDT","Market","BUY","0E-10","640751.0000000000BONK","2024-06-27 13:26:49","640751.0000000000BONK","0.00002341","14.9999809100USDT","FILLED"
"2024-06-27 13:26:22","1810925599","FETUSDT","Market","BUY","0E-10","9.3000000000FET","2024-06-27 13:26:22","9.3000000000FET","1.61100000","14.9823000000USDT","FILLED"
"2024-06-27 13:20:47","6245535174","XRPUSDT","Market","BUY","0E-10","10.0000000000XRP","2024-06-27 13:20:47","10.0000000000XRP","0.47510000","4.7510000000USDT","FILLED"
"2024-06-27 13:20:21","1022448973","MEMEUSDT","Market","BUY","0E-10","250.0000000000MEME","2024-06-27 13:20:21","250.0000000000MEME","0.01999000","4.9975000000USDT","FILLED"
"2024-06-27 13:19:47","4202015454","DOTUSDT","Market","BUY","0E-10","3.2800000000DOT","2024-06-27 13:19:47","3.2800000000DOT","6.09700000","19.9981600000USDT","FILLED"
"2024-06-27 13:19:05","775906130","DUSKUSDT","Market","BUY","0E-10","48.0000000000DUSK","2024-06-27 13:19:05","48.0000000000DUSK","0.30650000","14.7120000000USDT","FILLED"
"2024-06-27 13:13:24","497346831","USDCUSDT","Market","BUY","0E-10","99.0000000000USDC","2024-06-27 13:13:24","99.0000000000USDC","1.00090000","99.0891000000USDT","FILLED"
"2024-06-27 13:12:42","1105441288","ANKRUSDT","Market","BUY","0E-10","317.3000000000ANKR","2024-06-27 13:12:42","317.3000000000ANKR","0.03151000","9.9981230000USDT","FILLED"
"2024-06-27 13:12:16","2774426848","NEARUSDT","Market","BUY","0E-10","1.8000000000NEAR","2024-06-27 13:12:16","1.8000000000NEAR","5.29200000","9.5256000000USDT","FILLED"
"2024-06-27 13:11:30","18303100155","ETHUSDT","Market","BUY","0E-10","0.0087000000ETH","2024-06-27 13:11:30","0.0087000000ETH","3446.51000000","29.9846370000USDT","FILLED"
"2024-06-27 13:10:13","28145968823","BTCUSDT","Market","BUY","0E-10","0.0008100000BTC","2024-06-27 13:10:13","0.0008100000BTC","61723.70000000","49.9961970000USDT","FILLED"
"2024-06-27 13:08:38","28145893623","BTCUSDT","Market","SELL","0E-10","0.0003500000BTC","2024-06-27 13:08:38","0.0003500000BTC","61614.86000000","21.5652010000USDT","FILLED"
"2024-06-16 16:32:48","1791819402","ORDIUSDT","Market","BUY","0E-10","0.1000000000ORDI","2024-06-16 16:32:48","0.1000000000ORDI","46.03000000","4.6030000000USDT","FILLED"
"2024-06-16 16:32:03","1092360323","PEPEUSDT","Market","SELL","0E-10","408830.0000000000PEPE","2024-06-16 16:32:03","408830.0000000000PEPE","0.00001223","4.9999909000USDT","FILLED"
"2024-06-16 15:58:16","1426953393","INJUSDT","Market","BUY","0E-10","0.2100000000INJ","2024-06-16 15:58:16","0.2100000000INJ","25.11000000","5.2731000000USDT","FILLED"
"2024-06-16 15:44:51","5295691638","LINKUSDT","Market","SELL","0E-10","0.3300000000LINK","2024-06-16 15:44:51","0.3300000000LINK","15.15000000","4.9995000000USDT","FILLED"
"2024-06-16 11:39:21","825944190","LPTUSDT","Market","BUY","0E-10","0.2500000000LPT","2024-06-16 11:39:21","0.2500000000LPT","22.17000000","5.5425000000USDT","FILLED"
"2024-06-16 11:37:03","3888701678","MATICUSDT","Market","SELL","0E-10","8.1000000000MATIC","2024-06-16 11:37:03","8.1000000000MATIC","0.61560000","4.9863600000USDT","FILLED"
"2024-06-15 16:33:18","1097529024","ANKRUSDT","Market","BUY","0E-10","142.2000000000ANKR","2024-06-15 16:33:18","142.2000000000ANKR","0.03516000","4.9997520000USDT","FILLED"
"2024-06-15 16:31:36","18132885243","ETHUSDT","Market","SELL","0E-10","0.0014000000ETH","2024-06-15 16:31:36","0.0014000000ETH","3561.53000000","4.9861420000USDT","FILLED"
"2024-06-15 01:09:41","1786557240","ORDIUSDT","Market","BUY","0E-10","0.1100000000ORDI","2024-06-15 01:09:41","0.1100000000ORDI","45.31000000","4.9841000000USDT","FILLED"
"2024-06-15 01:04:20","1781061958","FETUSDT","Market","BUY","0E-10","5.4000000000FET","2024-06-15 01:04:20","5.4000000000FET","1.46600000","7.9164000000USDT","FILLED"
"2024-06-15 01:02:27","1781060683","FETUSDT","Market","BUY","0E-10","5.4000000000FET","2024-06-15 01:02:27","5.4000000000FET","1.46700000","7.9218000000USDT","FILLED"
"2024-06-15 01:00:04","1084407402","PEPEUSDT","Market","BUY","0E-10","1737619.0000000000PEPE","2024-06-15 01:00:04","1737619.0000000000PEPE","0.00001151","19.9999946900USDT","FILLED"
